STOP_FRISK_ID,Stop Frisk Time,YEAR2,MONTH2,DAY2,STOP_WAS_INITIATED,ISSUING_OFFICER_RANK,ISSUING_OFFICER_COMMAND_CODE,SUPERVISING_OFFICER_RANK,SUPERVISING_OFFICER_COMMAND_CODE,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,OFFICER_NOT_EXPLAINED_STOP_DESCRIPTION,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,OFFICER_IN_UNIFORM_FLAG,FRISKED_FLAG,SEARCHED_FLAG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_CEW_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SEARCH_BASIS_ADMISSION_FLAG,SEARCH_BASIS_CONSENT_FLAG,SEARCH_BASIS_HARD_OBJECT_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SEARCH_BASIS_OTHER_FLAG,SEARCH_BASIS_OUTLINE_FLAG,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_PRECINCT,STOP_LOCATION_FULL_ADDRESS,STOP_LOCATION_BORO_NAME
1,19:04:00,2018,January,Monday,Based on C/W on Scene,POM,1,SGT,1,0,MENACING,18,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,COOPERATIVE,0,MALE,WHITE,5.1,170,MED,BRO,BLK,1,VARICK STREET && FRANKLIN STREET,MANHATTAN
2,23:00:00,2018,January,Monday,Based on Radio Run,POM,34,SGT,34,1,CPW,15,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NERVOUS,26,MALE,BLACK HISPANIC,6.1,250,HEA,BRO,BLK,34,DYCKMAN STREET && POST AVENUE,MANHATTAN
3,23:55:00,2018,January,Monday,Based on Radio Run,POM,808,SGT,808,0,GRAND LARCENY,10,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,RELIEVED,40,MALE,WHITE HISPANIC,5.5,150,THN,BRO,BLD,43,2245 RANDALL AVENUE,BRONX
4,3:23:00,2018,January,Monday,Based on Radio Run,POM,63,SGT,63,2,ROBBERY,15,1,0,1,ROBBERY,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,COMPLAIN,38,MALE,AMERICAN INDIAN/ALASKAN NATIVE,5.1,160,MED,BRO,BLK,63,EAST 38 STREET && AVENUE L,BROOKLYN
5,3:23:00,2018,January,Monday,Based on Radio Run,POM,63,SGT,63,2,ROBBERY,15,1,0,1,ROBBERY,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,COMPLAINT,36,MALE,WHITE,5.11,230,MED,BRO,BLK,63,EAST 38 STREET && AVENUE L,BROOKLYN
6,21:20:00,2018,January,Monday,Based on Self Initiated,POM,71,SGT,71,1,UNAUTHORIZED USE OF A VEHICLE,15,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,NERVOUS,20,MALE,BLACK,5.1,150,THN,BRO,BLK,67,178 ROCKAWAY PARKWAY,BROOKLYN
7,0:00:00,2018,January,Monday,Based on Self Initiated,POM,425,SSA,425,1,CPW,10,1,0,1,CPW,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,N/A,46,MALE,BLACK,5.7,215,HEA,BRO,BLK,67,625 EAST 40 STREET,BROOKLYN
8,0:00:00,2018,January,Monday,Based on Self Initiated,POM,425,SSA,425,1,CPW,10,1,0,1,CPW,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,N/A,36,MALE,BLACK,5.8,170,XXX,BRO,BLK,67,625 EAST 40 STREET,BROOKLYN
9,0:00:00,2018,January,Monday,Based on Self Initiated,POM,425,SSA,425,1,CPW,10,1,0,1,CPW,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,N/A,29,MALE,BLACK,6.1,185,XXX,BRO,BLK,67,625 EAST 40 STREET,BROOKLYN
10,0:00:00,2018,January,Monday,Based on Self Initiated,POM,425,SSA,425,1,CPW,10,1,0,1,CPW,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,N/A,41,MALE,BLACK,6.1,190,XXX,BRO,BLK,67,625 EAST 40 STREET,BROOKLYN
